iter	RMSE
0	2.975630028
1	2.960013993
2	2.945353133
3	2.930550854
4	2.915615845
5	2.9018173
6	2.888477226
7	2.874432359
8	2.859504648
9	2.844778791
10	2.831607027
11	2.818107837
12	2.803552522
13	2.790589378
14	2.776756537
15	2.763588931
16	2.750366296
17	2.737601162
18	2.725086681
19	2.712187395
20	2.700111817
21	2.687295879
22	2.674722506
23	2.662425065
24	2.652752452
25	2.640363076
26	2.627823862
27	2.616232393
28	2.605060802
29	2.593273205
30	2.581696795
31	2.570360024
32	2.559786202
33	2.549912901
34	2.540947639
35	2.530035399
36	2.521505625
37	2.511240973
38	2.50093663
39	2.491621855
40	2.483594503
41	2.475300132
42	2.465205289
43	2.455358081
44	2.445642132
45	2.436113751
46	2.42637868
47	2.417934884
48	2.408982449
49	2.400426161
50	2.391514467
51	2.383599659
52	2.374772857
53	2.366833513
54	2.358546155
55	2.350215733
56	2.342706413
57	2.335500032
58	2.327124082
59	2.31952444
60	2.312429323
61	2.305074666
62	2.297462325
63	2.289552764
64	2.282518823
65	2.275372766
66	2.268068444
67	2.260666635
68	2.25393411
69	2.247028995
70	2.240398959
71	2.233599421
72	2.226967766
73	2.22049891
74	2.213720579
75	2.207896934
76	2.20156608
77	2.195957549
78	2.189886448
79	2.184650268
80	2.178803469
81	2.173178728
82	2.167712673
83	2.161364971
84	2.155123218
85	2.150237556
86	2.144629066
87	2.139411332
88	2.13412054
89	2.12951825
90	2.124983745
91	2.119556412
92	2.11433278
93	2.108738631
94	2.103092415
95	2.098951089
96	2.094205285
97	2.08927329
98	2.084523404
99	2.079653072
100	2.075567503
101	2.070958554
102	2.066683491
103	2.062689927
104	2.058177478
105	2.054156806
106	2.051293844
107	2.047411416
108	2.043648808
109	2.040514386
110	2.037862408
111	2.033931924
112	2.03019522
113	2.02631995
114	2.022340011
115	2.018580678
116	2.014325799
117	2.010147988
118	2.00673004
119	2.003578134
120	1.99944663
121	1.995702316
122	1.993178286
123	1.989189337
124	1.986814019
125	1.983268489
126	1.979264184
127	1.97637421
128	1.97306046
129	1.969782243
130	1.965821351
131	1.962785303
132	1.960068067
133	1.957553589
134	1.95401277
135	1.950900758
136	1.947979646
137	1.944601432
138	1.941183877
139	1.938677058
140	1.935847259
141	1.932658736
142	1.930101545
143	1.927560928
144	1.925185494
145	1.922438771
146	1.919907697
147	1.916828016
148	1.913554022
149	1.911169561
150	1.908894619
151	1.906722838
152	1.90473601
153	1.90247989
154	1.900846256
155	1.89877087
156	1.896727803
157	1.893610798
158	1.890727689
159	1.888437418
160	1.885390609
161	1.883447813
162	1.880627694
163	1.878105143
164	1.875644895
165	1.873812739
166	1.87198508
167	1.869955979
168	1.86731839
169	1.865808469
170	1.863200949
171	1.861542058
172	1.859024961
173	1.857104228
174	1.854730326
175	1.853146479
176	1.851233652
177	1.849571467
178	1.847878332
179	1.846577952
180	1.844734096
181	1.843193603
182	1.841637142
183	1.840431657
184	1.839095613
185	1.836901909
186	1.835628424
187	1.833281832
188	1.831224331
189	1.830060812
190	1.828906975
191	1.827700575
192	1.82641095
